n,T,gtype,ttype,md,Avg BP Explored,Total BP,BP Explored (%),Geom Run-Time (%),Add Run-Time (ms),SP Run-Time (ms),Avg #Arcs in Soln,Avg #Subpaths in Soln,Avg DDD Run-Time (ms),Avg Enum Run-Time (ms),Run-Time (%),Iterations
30,20,1,1,1,32.6,553,5.89512,0.10589,0,0,5.1,1,38.1,348,10.9483,398
30,20,1,2,1,32.6,553,5.89512,0.101132,0,0,5.1,1,40.3,378.9,10.6361,393
30,20,2,1,1,36.8,553,6.65461,0.104015,0,0,9,1,22.5,212.8,10.5733,470
30,20,2,2,1,38.8,553,7.01627,0.0964642,0,0,9,1,23.3,231.6,10.0604,487
30,20,3,1,1,29.9,553,5.40687,0.0916588,0,0,6.8,1,28.4,296.4,9.58165,351
30,20,3,2,1,32.6,553,5.89512,0.0901625,0,0,6.7,1,30.9,321.9,9.59925,389
50,20,1,1,1,36.9,933,3.95498,0.0720853,0,0,7.5,1,81.4,1112.7,7.31554,440
50,20,1,2,1,49.2,933,5.27331,0.0891559,0,0,7.5,1,109.1,1192.7,9.14731,584
50,20,2,1,1,47.6,933,5.10182,0.0826719,0,0,13,1,52.8,622.4,8.48329,590
50,20,2,2,1,46.6,933,4.99464,0.07485,0,0,13,1,52.1,686.3,7.59143,562
50,20,3,1,1,47,933,5.03751,0.095023,0,0,9,1,88.6,903.3,9.80848,589
50,20,3,2,1,41.2,933,4.41586,0.0748843,0,0,8.9,1,75,965.6,7.76719,478
